parola,count
serio,259
game,167
squid,154
anno,121
coreano,116
dio,109
netflix,106
giocare,97
potere,91
primo,91
film,86
altro,78
nuovo,68
sempre,65
corea,65
mondare,64
milione,61
tv,61
succedere,58
storia,58
bambino,55
dopo,54
dovere,54
vistare,53
tempo,52
partire,52
venire,49
raccontare,49
proprio,48
dire,47
dare,46
paese,45
due,45
k,45
sudcoreano,44
diventare,44
vincere,44
cinema,44
mentre,43
parlare,43
così,43
piattaforma,42
giorno,42
vita,42
stesso,42
d,41
solere,40
lingua,40
spiegare,40
oggi,39
persona,37
gioco,37
volere,37
quando,37
cosa,37
pop,36
fino,36
mettere,35
jung,35
perdere,33
pensare,33
pubblicare,33
protagonista,33
cultura,32
piccolo,32
volto,32
senza,31
stagione,31
arrivare,31
vedere,31
ancorare,30
poi,30